station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBGR,2021-01-01 00:00,69.80,66.20,88.34,350.00,3.00,0.00,30.03,M,6.21,M,FEW,BKN,M,M,1000.00,10000.00,M,M,M,M,M,M,M,M,M,69.80,SBGR 010000Z 35003KT 9999 FEW010 BKN100 21/19 Q1017,M
SBGR,2021-01-01 01:00,69.80,66.20,88.34,40.00,5.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 010100Z 04005KT CAVOK 21/19 Q1017,M
SBGR,2021-01-01 02:00,68.00,64.40,88.26,270.00,5.00,0.00,30.00,M,6.21,M,FEW,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,68.00,SBGR 010200Z 27005KT 9999 FEW011 20/18 Q1016,M
SBGR,2021-01-01 03:00,69.80,64.40,82.98,320.00,5.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 010300Z 32005KT CAVOK 21/18 Q1016,M
SBGR,2021-01-01 04:00,69.80,64.40,82.98,270.00,6.00,0.00,30.00,M,6.21,M,FEW,BKN,M,M,2100.00,10000.00,M,M,M,M,M,M,M,M,M,69.80,SBGR 010400Z 27006KT 9999 FEW021 BKN100 21/18 Q1016,M
SBGR,2021-01-01 05:00,69.80,64.40,82.98,240.00,5.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 010500Z 24005KT CAVOK 21/18 Q1015,M
SBGR,2021-01-01 06:00,69.80,64.40,82.98,180.00,3.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 010600Z 18003KT CAVOK 21/18 Q1015,M
SBGR,2021-01-01 07:00,69.80,64.40,82.98,300.00,6.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 010700Z 30006KT CAVOK 21/18 Q1015,M
SBGR,2021-01-01 08:00,69.80,64.40,82.98,300.00,2.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 010800Z 30002KT CAVOK 21/18 Q1016,M
SBGR,2021-01-01 09:00,68.00,66.20,93.97,310.00,2.00,0.00,30.00,M,4.97,M,FEW,BKN,M,M,1700.00,8000.00,M,M,-RA,M,M,M,M,M,M,68.00,SBGR 010900Z 31002KT 8000 -RA FEW017 BKN080 20/19 Q1016,M
SBGR,2021-01-01 10:00,69.80,66.20,88.34,290.00,4.00,0.00,30.03,M,4.97,M,BKN,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 011000Z 29004KT 8000 BKN017 21/19 Q1017,M
SBGR,2021-01-01 11:00,69.80,66.20,88.34,340.00,5.00,0.00,30.03,M,6.21,M,BKN,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 011100Z 34005KT 9999 BKN017 21/19 Q1017,M
SBGR,2021-01-01 12:00,71.60,64.40,78.04,300.00,5.00,0.00,30.06,M,6.21,M,BKN,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 011200Z 30005KT 9999 BKN015 22/18 Q1018,M
SBGR,2021-01-01 13:00,71.60,66.20,83.09,320.00,4.00,0.00,30.06,M,6.21,M,SCT,BKN,M,M,1500.00,2300.00,M,M,M,M,M,M,M,M,M,71.60,SBGR 011300Z 32004KT 9999 SCT015 BKN023 22/19 Q1018,M
SBGR,2021-01-01 14:00,75.20,66.20,73.61,290.00,5.00,0.00,30.06,M,6.21,M,BKN,BKN,M,M,2100.00,5000.00,M,M,M,M,M,M,M,M,M,75.20,SBGR 011400Z 29005KT 9999 BKN021 BKN050 24/19 Q1018,M
SBGR,2021-01-01 15:00,77.00,66.20,69.33,310.00,4.00,0.00,30.06,M,6.21,M,SCT,BKN,M,M,2300.00,6500.00,M,M,M,M,M,M,M,M,M,77.00,SBGR 011500Z 31004KT 9999 SCT023 BKN065 25/19 Q1018,M
SBGR,2021-01-01 16:00,78.80,62.60,57.60,310.00,7.00,0.00,30.03,M,6.21,M,SCT,BKN,M,M,3500.00,10000.00,M,M,M,M,M,M,M,M,M,78.80,SBGR 011600Z 31007KT 9999 SCT035 BKN100 26/17 Q1017,M
SBGR,2021-01-01 17:00,80.60,62.60,54.30,220.00,3.00,0.00,30.00,M,6.21,M,BKN,M,M,M,3600.00,M,M,M,M,M,M,M,M,M,M,81.84,SBGR 011700Z 22003KT 9999 BKN036 27/17 Q1016,M
SBGR,2021-01-01 18:00,78.80,64.40,61.36,360.00,7.00,0.00,29.97,M,6.21,M,SCT,SCT,M,M,4000.00,5000.00,M,M,VCSH,M,M,M,M,M,M,78.80,SBGR 011800Z 36007KT 9999 VCSH SCT040 SCT050TCU 26/18 Q1015,M
SBGR,2021-01-01 19:00,73.40,66.20,78.19,290.00,5.00,0.00,29.97,M,5.59,M,SCT,SCT,M,M,3300.00,5000.00,M,M,-TSRA,M,M,M,M,M,M,73.40,SBGR 011900Z 29005KT 9000 -TSRA SCT033 SCT050CB 23/19 Q1015,M
SBGR,2021-01-01 20:00,69.80,68.00,94.01,160.00,3.00,0.00,30.00,M,6.21,M,SCT,FEW,BKN,M,1500.00,5000.00,10000.00,M,-TSRA,M,M,M,M,M,M,69.80,SBGR 012000Z 16003KT 9999 4500E -TSRA SCT015 FEW050CB BKN100 21/20 Q1016,M
SBGR,2021-01-01 21:00,69.80,68.00,94.01,0.00,0.00,0.00,30.00,M,6.21,M,FEW,FEW,SCT,M,1500.00,5000.00,7000.00,M,M,M,M,M,M,M,M,69.80,SBGR 012100Z 00000KT 9999 FEW015 FEW050TCU SCT070 21/20 Q1016 RETS,M
