"date","aqs","wd","pm25","no","no2","o3","ws"
2019-01-01 00:00:00,"Ibirapuera",NA,NA,NA,NA,NA,NA
2019-01-01 01:00:00,"Ibirapuera",NA,17,NA,NA,62,NA
2019-01-01 02:00:00,"Ibirapuera",NA,31,0,7,52,NA
2019-01-01 03:00:00,"Ibirapuera",NA,39,0,3,55,NA
2019-01-01 04:00:00,"Ibirapuera",NA,23,0,4,51,NA
2019-01-01 05:00:00,"Ibirapuera",NA,19,0,7,42,NA
2019-01-01 06:00:00,"Ibirapuera",NA,16,0,3,NA,NA
2019-01-01 07:00:00,"Ibirapuera",NA,12,0,6,37,NA
2019-01-01 08:00:00,"Ibirapuera",NA,14,0,5,42,NA
2019-01-01 09:00:00,"Ibirapuera",NA,13,0,3,49,NA
2019-01-01 10:00:00,"Ibirapuera",NA,9,0,1,59,NA
2019-01-01 11:00:00,"Ibirapuera",NA,12,0,1,71,NA
2019-01-01 12:00:00,"Ibirapuera",NA,13,0,0,74,NA
2019-01-01 13:00:00,"Ibirapuera",NA,11,0,0,84,NA
2019-01-01 14:00:00,"Ibirapuera",NA,8,0,0,92,NA
2019-01-01 15:00:00,"Ibirapuera",NA,8,0,0,98,NA
2019-01-01 16:00:00,"Ibirapuera",NA,13,0,2,107,NA
2019-01-01 17:00:00,"Ibirapuera",NA,23,0,2,87,NA
2019-01-01 18:00:00,"Ibirapuera",NA,24,0,3,79,NA
2019-01-01 19:00:00,"Ibirapuera",NA,23,0,6,65,NA
2019-01-01 20:00:00,"Ibirapuera",NA,18,0,9,63,NA
2019-01-01 21:00:00,"Ibirapuera",NA,9,0,7,48,NA
2019-01-01 22:00:00,"Ibirapuera",NA,13,0,8,37,NA
2019-01-01 23:00:00,"Ibirapuera",NA,16,0,9,33,NA
2019-01-02 00:00:00,"Ibirapuera",NA,15,0,7,36,NA
2019-01-02 01:00:00,"Ibirapuera",NA,17,NA,NA,29,NA
2019-01-02 02:00:00,"Ibirapuera",NA,7,0,8,27,NA
2019-01-02 03:00:00,"Ibirapuera",NA,11,0,8,20,NA
2019-01-02 04:00:00,"Ibirapuera",NA,11,0,7,12,NA
2019-01-02 05:00:00,"Ibirapuera",NA,9,0,9,7,NA
2019-01-02 06:00:00,"Ibirapuera",NA,11,0,11,NA,NA
2019-01-02 07:00:00,"Ibirapuera",NA,10,5,18,1,NA
2019-01-02 08:00:00,"Ibirapuera",NA,8,18,21,3,NA
2019-01-02 09:00:00,"Ibirapuera",NA,8,13,27,12,NA
2019-01-02 10:00:00,"Ibirapuera",NA,8,7,25,31,NA
2019-01-02 11:00:00,"Ibirapuera",NA,7,1,10,56,NA
2019-01-02 12:00:00,"Ibirapuera",NA,11,1,6,65,NA
2019-01-02 13:00:00,"Ibirapuera",NA,7,0,4,67,NA
2019-01-02 14:00:00,"Ibirapuera",NA,6,0,2,82,NA
2019-01-02 15:00:00,"Ibirapuera",NA,6,0,2,82,NA
2019-01-02 16:00:00,"Ibirapuera",NA,6,0,3,83,NA
2019-01-02 17:00:00,"Ibirapuera",NA,5,0,2,76,NA
2019-01-02 18:00:00,"Ibirapuera",NA,8,0,7,65,NA
2019-01-02 19:00:00,"Ibirapuera",NA,9,0,17,64,NA
2019-01-02 20:00:00,"Ibirapuera",NA,7,1,17,58,NA
2019-01-02 21:00:00,"Ibirapuera",NA,10,0,25,40,NA
2019-01-02 22:00:00,"Ibirapuera",NA,13,0,24,38,NA
2019-01-02 23:00:00,"Ibirapuera",NA,22,0,30,41,NA
2019-01-03 00:00:00,"Ibirapuera",NA,17,1,41,19,NA
2019-01-03 01:00:00,"Ibirapuera",NA,11,NA,NA,14,NA
2019-01-03 02:00:00,"Ibirapuera",NA,10,0,40,8,NA
2019-01-03 03:00:00,"Ibirapuera",NA,10,1,22,18,NA
2019-01-03 04:00:00,"Ibirapuera",NA,8,0,10,33,NA
2019-01-03 05:00:00,"Ibirapuera",NA,7,0,14,29,NA
2019-01-03 06:00:00,"Ibirapuera",NA,4,0,13,NA,NA
2019-01-03 07:00:00,"Ibirapuera",NA,6,0,16,19,NA
2019-01-03 08:00:00,"Ibirapuera",NA,4,1,24,16,NA
2019-01-03 09:00:00,"Ibirapuera",NA,6,2,16,35,NA
2019-01-03 10:00:00,"Ibirapuera",NA,3,2,14,46,NA
2019-01-03 11:00:00,"Ibirapuera",NA,9,2,11,63,NA
2019-01-03 12:00:00,"Ibirapuera",NA,8,0,5,74,NA
2019-01-03 13:00:00,"Ibirapuera",NA,5,0,3,81,NA
2019-01-03 14:00:00,"Ibirapuera",NA,6,0,4,91,NA
2019-01-03 15:00:00,"Ibirapuera",NA,6,0,3,93,NA
2019-01-03 16:00:00,"Ibirapuera",NA,7,0,4,90,NA
2019-01-03 17:00:00,"Ibirapuera",NA,10,0,4,85,NA
2019-01-03 18:00:00,"Ibirapuera",NA,8,0,7,86,NA
2019-01-03 19:00:00,"Ibirapuera",NA,16,0,13,69,NA
2019-01-03 20:00:00,"Ibirapuera",NA,7,NA,NA,57,NA
2019-01-03 21:00:00,"Ibirapuera",NA,7,0,8,46,NA
2019-01-03 22:00:00,"Ibirapuera",NA,1,0,11,38,NA
2019-01-03 23:00:00,"Ibirapuera",NA,0,0,10,37,NA
2019-01-04 00:00:00,"Ibirapuera",NA,1,0,27,18,NA
2019-01-04 01:00:00,"Ibirapuera",NA,3,NA,NA,29,NA
2019-01-04 02:00:00,"Ibirapuera",NA,1,0,11,33,NA
2019-01-04 03:00:00,"Ibirapuera",NA,1,0,5,38,NA
2019-01-04 04:00:00,"Ibirapuera",NA,1,0,9,31,NA
2019-01-04 05:00:00,"Ibirapuera",NA,3,0,12,26,NA
2019-01-04 06:00:00,"Ibirapuera",NA,3,0,17,NA,NA
2019-01-04 07:00:00,"Ibirapuera",NA,5,1,28,10,NA
