"date","aqs","wd","pm25","no","no2","o3","ws"
2019-01-01 00:00:00,"Pinheiros",NA,NA,NA,NA,NA,NA
2019-01-01 01:00:00,"Pinheiros",147,NA,0,9,56,2.4
2019-01-01 02:00:00,"Pinheiros",155,NA,0,13,47,1.7
2019-01-01 03:00:00,"Pinheiros",153,NA,0,12,45,1.7
2019-01-01 04:00:00,"Pinheiros",149,NA,0,9,45,1.9
2019-01-01 05:00:00,"Pinheiros",148,NA,0,9,45,1.9
2019-01-01 06:00:00,"Pinheiros",4,NA,0,8,44,1.1
2019-01-01 07:00:00,"Pinheiros",341,NA,2,16,33,0.9
2019-01-01 08:00:00,"Pinheiros",174,NA,1,13,38,1.4
2019-01-01 09:00:00,"Pinheiros",177,NA,4,12,40,1.5
2019-01-01 10:00:00,"Pinheiros",21,NA,1,7,52,1.5
2019-01-01 11:00:00,"Pinheiros",37,NA,1,7,59,2.2
2019-01-01 12:00:00,"Pinheiros",345,NA,1,5,62,1.8
2019-01-01 13:00:00,"Pinheiros",309,NA,1,5,71,2
2019-01-01 14:00:00,"Pinheiros",296,NA,1,5,78,2.1
2019-01-01 15:00:00,"Pinheiros",277,NA,1,5,85,2
2019-01-01 16:00:00,"Pinheiros",167,NA,0,6,94,2.8
2019-01-01 17:00:00,"Pinheiros",150,NA,0,6,80,4.4
2019-01-01 18:00:00,"Pinheiros",138,NA,0,8,74,4.3
2019-01-01 19:00:00,"Pinheiros",101,NA,1,13,66,2.6
2019-01-01 20:00:00,"Pinheiros",157,NA,1,18,62,1.5
2019-01-01 21:00:00,"Pinheiros",162,NA,1,19,40,1.2
2019-01-01 22:00:00,"Pinheiros",165,NA,1,21,30,1.1
2019-01-01 23:00:00,"Pinheiros",172,NA,2,26,21,1
2019-01-02 00:00:00,"Pinheiros",177,NA,2,21,25,1
2019-01-02 01:00:00,"Pinheiros",335,NA,1,16,27,1
2019-01-02 02:00:00,"Pinheiros",179,NA,0,16,24,1.2
2019-01-02 03:00:00,"Pinheiros",2,NA,0,15,18,0.7
2019-01-02 04:00:00,"Pinheiros",777,NA,3,17,9,0
2019-01-02 05:00:00,"Pinheiros",36,NA,22,23,0,0.8
2019-01-02 06:00:00,"Pinheiros",777,NA,17,20,1,0
2019-01-02 07:00:00,"Pinheiros",16,NA,88,23,4,0.7
2019-01-02 08:00:00,"Pinheiros",347,NA,100,29,4,0.8
2019-01-02 09:00:00,"Pinheiros",349,NA,39,36,8,1.2
2019-01-02 10:00:00,"Pinheiros",2,NA,14,27,29,2
2019-01-02 11:00:00,"Pinheiros",342,NA,9,22,41,2.4
2019-01-02 12:00:00,"Pinheiros",334,NA,7,22,49,2.7
2019-01-02 13:00:00,"Pinheiros",335,NA,4,17,56,2.7
2019-01-02 14:00:00,"Pinheiros",324,NA,5,17,63,2.9
2019-01-02 15:00:00,"Pinheiros",339,NA,5,16,62,2.6
2019-01-02 16:00:00,"Pinheiros",321,NA,5,16,64,2.4
2019-01-02 17:00:00,"Pinheiros",328,NA,5,16,57,2.8
2019-01-02 18:00:00,"Pinheiros",343,NA,12,26,49,2.8
2019-01-02 19:00:00,"Pinheiros",314,NA,10,32,42,1.8
2019-01-02 20:00:00,"Pinheiros",169,NA,3,39,43,1.3
2019-01-02 21:00:00,"Pinheiros",22,NA,13,39,26,1.1
2019-01-02 22:00:00,"Pinheiros",37,NA,8,41,28,1.8
2019-01-02 23:00:00,"Pinheiros",30,NA,7,40,34,1.4
